ID,Source,Neonic,Conc,Sex,Flown,FirstFeeding,DeathDate,DeadAfter,Survived,TimeFlown,Rev,Distance,DistanceKM,AVGSpeed,KMHR,Day1Pre,Day1Amount,Day2Amount,Day3Amount,Day4Amount,Day5Amount,Day5Pre,FlightChange,TotalAmount,AVGAmount,DropTest
95,W,Ctrl,0,M,1,2/26/2020,,10,1,1371.484,242,1050.021581,1.050021581,0.765609793,2.756195255,0.5108,0.1509,0.0653,0.102,0.0866,0.1,0.487,0.0038,0.5048,0.10096,0.18
98,W,CL5,5,M,0,2/26/2020,3/3/2020,6,0,,,,,,,0.4518,0.0815,0.0008,-0.0007,,,,,0.0816,0.0272,
103,W,CL1,1,M,1,2/27/2020,,10,1,397.557,85,368.8092331,0.368809233,0.927688943,3.339680195,0.4894,0.1575,0.164,0.1088,0.0885,0.0479,0.5157,0.002,0.5667,0.11334,
105,W,CL1,1,F,0,2/26/2020,3/5/2020,8,0,,,,,,,0.4325,0.1237,0.1343,0.1466,0.1147,,,,0.5193,0.129825,
106,W,Ctrl,0,F,1,2/27/2020,,10,1,3648.884,587,2546.953174,2.546953174,0.698008809,2.512831712,0.4842,0.1688,0.1338,0.1105,0.0827,0.1241,0.4544,0.0044,0.6199,0.12398,
113,W,CL1,1,M,0,2/28/2020,3/3/2020,4,0,,,,,,,0.468,0.1364,0.0025,,,,,,0.1389,0.06945,
124,W,CL1,1,M,0,3/1/2020,3/7/2020,6,0,,,,,,,0.588,0.0604,0.0685,0.0494,,,,,0.1783,0.059433333,
132,W,Ctrl,0,M,1,2/28/2020,,10,1,3600.268,924,4009.17331,4.00917331,1.113576353,4.008874871,0.5162,0.1078,0.1077,0.085,0.0664,0.1035,0.4607,0.0183,0.4704,0.09408,0
138,W,CL1,1,F,0,2/28/2020,3/5/2020,6,0,,,,,,,0.4866,0.0942,0.2855,0.0111,,,,,0.3908,0.130266667,
140,W,CL1,1,F,1,3/1/2020,,10,1,565.603,128,555.3833157,0.555383316,0.981931347,3.534952849,0.5116,0.0139,0.0345,0.0287,0.0521,0.0348,0.4657,0.0016,0.164,0.0328,0.5
141,W,Ctrl,0,F,0,2/28/2020,,10,1,,,,,,,0.4464,0.1565,0.1312,0.198,0.2215,0.1882,0.4447,,0.8954,0.17908,
142,W,CL1,1,M,1,3/2/2020,,10,1,1812.145,184,798.3635163,0.798363516,0.440562712,1.586025763,0.7832,0.0849,0.054,0.0948,0.0918,0.1021,0.6691,0.036,0.4276,0.08552,1
144,W,Ctrl,0,F,1,3/2/2020,,10,1,989.326,214,928.531481,0.928531481,0.938549559,3.378778412,0.5422,0.0758,0.0788,0.1091,0.1299,0.1278,0.4346,0.0044,0.5214,0.10428,0.43
146,W,Ctrl,0,M,1,2/28/2020,,10,1,3621.448,530,2299.634042,2.299634042,0.635004021,2.286014476,0.9432,0.0816,0.0779,0.0729,0.053,0.092,0.576,0.0262,0.3774,0.07548,0.23
147,W,CL5,5,F,0,3/2/2020,3/4/2020,2,0,,,,,,,0.4218,0.021,,,,,,,0.021,0.021,
148,W,CL1,1,F,1,2/27/2020,,10,1,1868.454,388,1683.505676,1.683505676,0.901015318,3.243655145,0.5815,0.0762,0.1443,0.1463,0.1418,0.1276,0.4784,0.0088,0.6362,0.12724,
149,W,CL5,5,F,0,2/28/2020,3/5/2020,6,0,,,,,,,0.4044,0.0865,0.07,0.001,,,,,0.1575,0.0525,
150,W,CL1,1,F,1,3/2/2020,,10,1,3599.236,924,4009.17331,4.00917331,1.113895646,4.010024326,0.7855,0.1322,0.111,0.0702,0.0719,0.1027,0.7094,0.0565,0.488,0.0976,0.37
151,W,CL5,5,F,0,3/1/2020,,10,1,,,,,,,0.6811,0.1031,-0.0002,0.0908,0.0459,0.0371,0.664,,0.2767,0.05534,1
203,W,CL5,5,F,0,2/21/2020,,10,1,,,,,,,0.5109,0.0856,0.1017,0.1422,0.1387,0.1562,0.4373,,0.6244,0.12488,0.63
204,W,CL5,5,F,0,3/2/2020,3/10/2020,8,0,,,,,,,0.6264,0.0986,-0.0007,0,0.0353,,,,0.1332,0.0333,
O11,O,CL1,1,F,0,2/29/2020,,10,1,17.553,4,17.35572862,0.017355729,0.988761386,3.55954099,0.5113,0.1652,0.1312,0.0995,0.2127,0.1766,0.626,,0.7852,0.15704,0.69
O14,O,Ctrl,0,M,1,2/29/2020,,10,1,2906.692,687,2980.84639,2.98084639,1.025511609,3.691841792,0.6416,0.1004,0.0685,0.0504,0.068,0.0841,0.4928,0.0065,0.3714,0.07428,0.3
O19,O,CL5,5,F,0,2/29/2020,3/4/2020,4,0,,,,,,,0.561,0.0826,1.00E-04,,,,,,0.0827,0.04135,
O23,O,CL1,1,M,0,2/29/2020,3/8/2020,8,0,,,,,,,0.8618,0.1337,0.0003,0.002,1.00E-04,,,,0.1361,0.034025,
O26,O,CL5,5,M,0,2/29/2020,,10,1,,,,,,,0.6287,0.1422,-0.0002,0.0298,0.0381,0.0247,0.6453,,0.2346,0.04692,1
O28,O,CL5,5,F,0,2/29/2020,3/4/2020,4,0,,,,,,,0.4078,0.0715,0.0003,,,,,,0.0718,0.0359,
O29,O,CL5,5,M,1,2/29/2020,,10,1,223.418,21,91.11757523,0.091117575,0.407834531,1.468204312,0.5486,0.1238,0.1201,0.1187,0.1067,0.0506,0.5911,0.0216,0.5199,0.10398,1
O30,O,CL1,1,F,1,2/29/2020,,10,1,1017.913,186,807.0413806,0.807041381,0.792839251,2.854221304,0.6138,0.1415,0.1376,0.1246,0.1077,0.1703,0.6863,0.028,0.6817,0.13634,0.54
O33,O,Ctrl,0,M,1,2/29/2020,,10,1,453.411,71,308.0641829,0.308064183,0.679436941,2.445972988,0.5761,0.1286,0.0761,0.0419,0.0413,0.0408,0.395,0.0079,0.3287,0.06574,0.35
O34,O,Ctrl,0,F,1,2/29/2020,,10,1,3505.225,671,2911.423475,2.911423475,0.830595319,2.990143148,0.4512,0.182,0.0974,0.1055,0.1256,0.1157,0.4437,0.0094,0.6262,0.12524,0.5
