ID,Neonic,Conc,Group,Lin,HatchDate,IntoPints,PupDate,DeathPreRX,DeathPostRX,TimePostRX,EclosDate,OEScore,Sex,WeightEclos,Day1Amount,Day2Amount,Day3Amount,Day4Amount,Day5Amount,TotalAmount,AverageAmount,Day2Loss,Day3Loss,Day4Loss,Day5Loss,Day2PerLoss,Day3PerLoss,Day4PerLoss,Day5PerLoss,WeightPostCages,SurvivedRX,FeedingDayDeath,DeathResultofRX,DateFirstFeeding,DateIntoCages,Matings,NumberMated,DateInOv,DateOutOV,Eggs,EggScore,Contact,Feeding,Flying,Mating,Notes
1,CL,0,CL0,A,5/12/2019,5/14/2019,5/22/2019,,6/28/2019,23,6/3/2019,0,M,0.6606,0.0856,0.1476,0.0771,0.2392,0.2644,0.8139,0.16278,0.0286,0.0364,0.0659,-0.0265,0.043293975,0.057594937,0.110644728,-0.050028318,0.583,1,,,6/5/2019,6/14/2019,1,,,,,,0,0,45,0,
2,CL,0,CL0,A,5/12/2019,5/14/2019,5/21/2019,,7/1/2019,27,5/31/2019,0,F,0.5474,0.0844,0.097,0.1857,0.2147,0.2122,0.794,0.1588,0.0301,0.0416,0.0038,-0.0229,0.060115838,0.08839779,0.008857809,-0.053857008,0.6364,1,,,6/4/2019,6/14/2019,0,,,,,,10,0,65,0,
3,CL,0,CL0,A,5/12/2019,5/14/2019,,5/26/2019,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
4,CL,0,CL0,A,5/12/2019,5/14/2019,5/21/2019,,6/27/2019,23,5/31/2019,0,F,0.4988,0.0685,0.1279,0.1197,0.1254,0.1618,0.6033,0.12066,0.0776,0.0073,0.049,0.006,0.155573376,0.017331434,0.118386084,0.016442861,0.5279,1,,,6/4/2019,6/14/2019,1,,,,,,0,0,5,300,
5,CL,0,CL0,A,5/12/2019,5/14/2019,5/22/2019,,6/26/2019,22,6/1/2019,0,M,0.6957,0.0504,0.0805,0.1329,0.2037,0.1878,0.6553,0.13106,0.0848,0.026,0.0501,-0.0229,0.130642428,0.046074783,0.093070778,-0.046907005,0.4783,1,,,6/4/2019,6/14/2019,2,,,,,,15,0,63,1800,
6,CL,0,CL0,A,5/12/2019,5/14/2019,5/22/2019,,6/26/2019,22,5/31/2019,0,M,0.6268,0.1382,0.14,0.2484,0.1772,0.7418,1.4456,0.28912,0.028,0.0406,0.0166,,0.048118233,0.073298429,0.032339762,,0.4601,1,,,6/4/2019,6/14/2019,0,,,,,,8,0,30,0,
7,CL,0,CL0,A,5/12/2019,5/15/2019,5/24/2019,,6/26/2019,21,6/3/2019,0,M,0.6101,0.1073,0.1397,0.2151,0.2637,0.2917,1.0175,0.2035,0.052,0.0076,0.0525,-0.0237,0.085231929,0.013617631,0.095367847,-0.047590361,0.4446,1,,,6/5/2019,6/14/2019,4,,,,,,0,60,20,600,
8,CL,0,CL0,A,5/12/2019,5/15/2019,5/22/2019,,6/26/2019,22,6/1/2019,0,F,0.609,0.0478,0.0952,0.1853,0.2475,0.2501,0.8259,0.16518,0.0567,0.0375,0.0278,-0.0016,0.097859855,0.071742874,0.05729596,-0.003498032,0.5128,1,,,6/4/2019,6/14/2019,2,,,,,,630,600,13,1200,
9,CL,0,CL0,B,5/12/2019,5/14/2019,5/22/2019,,7/16/2019,42,6/1/2019,0,F,0.6649,0.2022,0.2449,0.2493,0.3063,0.3411,1.3438,0.26876,0.0067,0.0315,0.0428,-0.0396,0.010985407,0.052221485,0.074864439,-0.074872377,0.6663,1,,,6/4/2019,6/14/2019,3,3,6/21/2019,6/24/2019,368,3,10,600,35,1200,
10,CL,0,CL0,B,5/12/2019,5/14/2019,5/23/2019,,6/25/2019,20,6/2/2019,0,M,0.7774,0.0654,0.2689,0.2269,0.3803,0.3386,1.2801,0.25602,0.05,0.0069,0.034,-0.0184,0.067204301,0.009942363,0.049483336,-0.028173327,0.5638,1,,,6/5/2019,6/14/2019,0,,,,,,27,0,9,0,
